2026-03-30 14:43:40.692426,2
2026-03-30 14:45:47.442755,1
2026-03-30 14:46:25.664019,1
2026-03-30 14:46:44.039126,1
2026-03-30 14:46:58.838638,2
2026-03-30 14:48:03.049121,2
2026-03-31 12:52:28.118309,8
2026-03-31 12:53:06.309543,2
2026-03-31 12:59:42.847211,8
2026-03-31 13:00:04.425286,2
2026-03-31 13:00:22.429546,0
2026-03-31 13:00:22.601338,1
2026-03-31 13:00:22.817196,1
2026-03-31 13:00:22.994015,2
2026-03-31 13:00:23.161032,1
2026-03-31 13:00:23.339541,1
2026-03-31 13:00:23.475877,2
2026-03-31 13:00:23.679861,2
2026-03-31 13:00:23.858622,2
2026-03-31 13:00:24.036769,1
2026-03-31 13:00:24.203428,1
2026-03-31 13:00:24.378945,3
2026-03-31 13:00:24.574233,2
2026-03-31 13:00:24.766082,2
2026-03-31 13:00:24.945036,2
2026-03-31 13:00:25.139289,2
2026-03-31 13:00:25.286111,2
2026-03-31 13:00:25.430829,1
2026-03-31 13:00:25.613915,2
2026-03-31 13:00:25.788057,2
2026-03-31 13:00:25.950638,2
2026-03-31 13:00:26.130446,3
2026-03-31 13:00:26.291718,2
2026-03-31 13:00:26.453891,2
2026-03-31 13:00:26.634196,2
2026-03-31 13:00:26.790055,2
2026-03-31 13:00:26.943725,3
2026-03-31 13:00:27.120082,3
2026-03-31 13:00:27.265738,2
2026-03-31 13:00:27.413677,3
2026-03-31 13:00:27.667317,3
2026-03-31 13:00:27.822843,2
2026-03-31 13:00:27.973009,2
2026-03-31 13:00:28.150360,2
2026-03-31 13:00:28.308620,2
2026-03-31 13:00:28.455548,2
2026-03-31 13:00:28.630453,2
2026-03-31 13:00:28.785676,3
2026-03-31 13:00:28.933995,2
2026-03-31 13:00:29.106504,2
2026-03-31 13:00:29.273792,2
2026-03-31 13:00:29.412921,3
2026-03-31 13:00:29.564408,1
2026-03-31 13:00:29.736160,2
2026-03-31 13:00:29.878710,2
2026-03-31 13:00:30.023839,3
2026-03-31 13:00:30.202230,1
2026-03-31 13:00:30.352080,2
2026-03-31 13:00:30.490319,2
2026-03-31 13:00:30.667542,2
2026-03-31 13:00:30.817799,2
2026-03-31 13:00:30.965794,3
2026-03-31 13:00:31.135715,2
2026-03-31 13:00:31.295728,2
2026-03-31 13:00:31.439596,2
